submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
01/06/2022,NC,1809214,1522010,287204,29231,5459,20097,17675,2422,64,11,01/06/2022 12:00:00 AM,Agree,Agree
03/20/2021,NC,885963,773379,112584,1817,441,12652,11185,1467,18,2,03/20/2021 12:00:00 AM,Agree,Agree
07/10/2022,NC,2915581,2426982,488599,3684,552,25794,22455,3339,12,1,07/10/2022 12:00:00 AM,Agree,Agree
02/06/2022,NC,2524337,2118943,405394,6802,946,22818,19943,2875,91,13,02/06/2022 12:00:00 AM,Agree,Agree
03/18/2022,NC,2624705,2196400,428305,667,127,24768,21594,3174,23,3,03/18/2022 12:00:00 AM,Agree,Agree
11/27/2020,NC,356135,335260,20875,3377,141,5735,5529,206,42,7,11/27/2020 12:00:00 AM,Agree,Agree
05/29/2022,NC,2765091,2308738,456353,3388,496,25312,22066,3246,10,0,05/29/2022 12:00:00 AM,Agree,Agree
11/21/2021,NC,1507427,1276858,230569,1637,236,18899,16634,2265,19,1,11/21/2021 12:00:00 AM,Agree,Agree
07/05/2021,NC,1002991,861637,141354,303,67,13667,12051,1616,3,1,07/05/2021 12:00:00 AM,Agree,Agree
11/23/2021,NC,1510468,1279265,231203,1745,468,18937,16672,2265,18,0,11/23/2021 12:00:00 AM,Agree,Agree
06/27/2021,NC,999604,859172,140432,330,81,13636,12022,1614,1,0,06/27/2021 12:00:00 AM,Agree,Agree
03/16/2020,NC,33,33,0,1,0,1,1,0,0,0,03/16/2020 12:00:00 AM,Agree,Agree
